cycle,data_mb,compute_sec,idle_sec,compute_power_w,transfer_power_w,idle_power_w,total_power_wh,energy_j
94.0,0.1,0.0201048851013183,0.00506591796875,2.218463076477858,0.05,0.1676988240246247,3.066359294785385e-05,0.11038893461227386
95.0,0.1,0.0201044082641601,0.0051043033599853,2.2167775178106655,0.05,0.16884513262703926,3.067938817871931e-05,0.11044579744338952
96.0,0.1,0.0201039314270019,0.0050621032714843,2.2175177644416606,0.05,0.1675090860319659,3.0660917361577247e-05,0.11037930250167807
97.0,0.1,0.0201058387756347,0.0051054954528808,2.2169702195675915,0.05,0.16888722974678055,3.0681861771477475e-05,0.11045470237731891
98.0,0.1,0.0201046466827392,0.0051054954528808,2.2164891547770447,0.05,0.16886059446330942,3.0680305427975017e-05,0.11044909954071006
99.0,0.1,0.0200645923614501,0.0050616264343261,2.2167813379131527,0.05,0.16776596529306814,3.0605057875315186e-05,0.11017820835113466
100.0,0.1,0.02010178565979,0.005105972290039,2.2161737338478167,0.05,0.1688763655097708,3.0676530467139266e-05,0.11043550968170136
101.0,0.1,0.0200729370117187,0.0050628185272216,2.2164772039194807,0.05,0.16771270462239718,3.061749206648922e-05,0.1102229714393612
102.0,0.1,0.0201377868652343,0.0050783157348632,2.219757693621714,0.05,0.16793251162912692,3.0715117851892965e-05,0.11057442426681469
103.0,0.1,0.0200674533843994,0.0050599575042724,2.2168171426765415,0.05,0.16768944701383065,3.060841560363765e-05,0.11019029617309553
104.0,0.1,0.0201051235198974,0.0050644874572753,2.2191666184202874,0.05,0.16770264793654363,3.066313597891053e-05,0.11038728952407792
105.0,0.1,0.0201044082641601,0.0050616264343261,2.219262877535763,0.05,0.1676211430556557,3.066090080473147e-05,0.1103792428970333
106.0,0.1,0.0201036930084228,0.0051057338714599,2.2168618316235555,0.05,0.16890488534606327,3.067894445525265e-05,0.11044420003890953
107.0,0.1,0.02008056640625,0.005063772201538,2.216876095619628,0.05,0.1677107406257046,3.062861164410905e-05,0.1102630019187926
