cycle,sense_sec,compute_sec,transfer_sec,idle_sec,total_sec
142,0.01006174087524414,0.020105600357055664,0.010074138641357422,0.005105018615722656,0.04534649848937988
143,0.010070562362670898,0.020104646682739258,0.01007390022277832,0.005104541778564453,0.04535365104675293
144,0.010072946548461914,0.020104408264160156,0.010074138641357422,0.0051043033599853516,0.045355796813964844
145,0.010066747665405273,0.02006363868713379,0.010070085525512695,0.00510406494140625,0.04530453681945801
146,0.01006627082824707,0.02007889747619629,0.010066747665405273,0.005064725875854492,0.045276641845703125
147,0.010060548782348633,0.02010035514831543,0.010075569152832031,0.0051043033599853516,0.045340776443481445
148,0.010073184967041016,0.020103931427001953,0.010073184967041016,0.0051038265228271484,0.04535412788391113
149,0.010067224502563477,0.020064115524291992,0.010061979293823242,0.0050618648529052734,0.045255184173583984
150,0.01006174087524414,0.020102739334106445,0.010073423385620117,0.005100250244140625,0.04533815383911133
151,0.010071754455566406,0.020101308822631836,0.010074138641357422,0.005063295364379883,0.04531049728393555
152,0.010061979293823242,0.02010321617126465,0.010077953338623047,0.005070209503173828,0.045313358306884766
153,0.010065793991088867,0.02009725570678711,0.010069131851196289,0.005061626434326172,0.04529380798339844
154,0.010069608688354492,0.02010512351989746,0.010074377059936523,0.0051043033599853516,0.04535341262817383
155,0.010073661804199219,0.02008199691772461,0.010068655014038086,0.005061626434326172,0.045285940170288086
156,0.01006770133972168,0.020104169845581055,0.01006937026977539,0.005062103271484375,0.0453033447265625
157,0.010061025619506836,0.020079374313354492,0.010068893432617188,0.005060672760009766,0.04526996612548828
158,0.010061502456665039,0.02010035514831543,0.010076045989990234,0.00510406494140625,0.04534196853637695
159,0.010073184967041016,0.020103931427001953,0.010073423385620117,0.005085468292236328,0.045336008071899414
160,0.010066747665405273,0.02010345458984375,0.010073661804199219,0.00507807731628418,0.04532194137573242
161,0.010091066360473633,0.020104408264160156,0.010072946548461914,0.00510406494140625,0.04537248611450195
162,0.010072708129882812,0.02008199691772461,0.010072469711303711,0.0050907135009765625,0.045317888259887695
163,0.010067224502563477,0.02006244659423828,0.010061025619506836,0.005061149597167969,0.04525184631347656
164,0.010070323944091797,0.020104169845581055,0.010078907012939453,0.005085468292236328,0.04533886909484863
165,0.010069131851196289,0.020103931427001953,0.010073661804199219,0.005101680755615234,0.045348405838012695
166,0.01006627082824707,0.02010035514831543,0.010071754455566406,0.0051233768463134766,0.04536175727844238
167,0.010062694549560547,0.020063400268554688,0.01006174087524414,0.0050618648529052734,0.04524970054626465
168,0.010061025619506836,0.020084142684936523,0.010067939758300781,0.00506138801574707,0.04527449607849121
169,0.010067224502563477,0.020103931427001953,0.010065317153930664,0.005063295364379883,0.04529976844787598
170,0.010061502456665039,0.02006220817565918,0.010061502456665039,0.005061149597167969,0.04524636268615723
171,0.010068655014038086,0.020105600357055664,0.010073661804199219,0.005105257034301758,0.04535317420959473
172,0.01007223129272461,0.020078659057617188,0.01007223129272461,0.0051038265228271484,0.045326948165893555
173,0.010068416595458984,0.020251750946044922,0.010080814361572266,0.005062580108642578,0.04546356201171875
174,0.010067462921142578,0.02010488510131836,0.010080099105834961,0.0051038265228271484,0.04535627365112305
175,0.010072708129882812,0.02010488510131836,0.010072946548461914,0.005104780197143555,0.04535531997680664
176,0.010072946548461914,0.020104646682739258,0.010073423385620117,0.00510406494140625,0.04535508155822754
177,0.010077714920043945,0.02010369300842285,0.010073423385620117,0.005105733871459961,0.045360565185546875
178,0.01007390022277832,0.020103931427001953,0.010074853897094727,0.00510406494140625,0.04535675048828125
179,0.010073661804199219,0.020101070404052734,0.010072946548461914,0.005102634429931641,0.04535031318664551
180,0.010076284408569336,0.02010202407836914,0.010075569152832031,0.005101919174194336,0.045355796813964844
181,0.01007223129272461,0.02012467384338379,0.010074138641357422,0.005101680755615234,0.045372724533081055
182,0.010075092315673828,0.020105838775634766,0.010073423385620117,0.005105018615722656,0.04535937309265137
183,0.010071754455566406,0.020104408264160156,0.010107994079589844,0.005068540573120117,0.04535269737243652
184,0.01007390022277832,0.020104169845581055,0.01007533073425293,0.0051038265228271484,0.04535722732543945
185,0.010073423385620117,0.02010202407836914,0.010075807571411133,0.005104541778564453,0.045355796813964844
186,0.010072946548461914,0.020104169845581055,0.010073184967041016,0.00510096549987793,0.045351266860961914
187,0.010074615478515625,0.020103931427001953,0.010074138641357422,0.0051043033599853516,0.04535698890686035
188,0.010072708129882812,0.020104169845581055,0.010073184967041016,0.005106210708618164,0.04535627365112305
189,0.010072946548461914,0.02012467384338379,0.010074853897094727,0.005101442337036133,0.04537391662597656
190,0.010074138641357422,0.020095109939575195,0.010107755661010742,0.005068063735961914,0.04534506797790527
191,0.010066986083984375,0.020103931427001953,0.010108232498168945,0.005107879638671875,0.04538702964782715
192,0.010107278823852539,0.020107746124267578,0.010111093521118164,0.005110979080200195,0.04543709754943848
193,0.010111331939697266,0.020111560821533203,0.010112524032592773,0.00510859489440918,0.04544401168823242
194,0.010109424591064453,0.02011251449584961,0.010116338729858398,0.005118370056152344,0.045456647872924805
195,0.010114908218383789,0.020116090774536133,0.010115861892700195,0.005113363265991211,0.04546022415161133
196,0.010111808776855469,0.020116329193115234,0.010116100311279297,0.005116462707519531,0.04546070098876953
197,0.010114908218383789,0.02011251449584961,0.0101165771484375,0.005112886428833008,0.045456886291503906
198,0.01011514663696289,0.020113229751586914,0.0101165771484375,0.005114316940307617,0.04545927047729492
199,0.010114908218383789,0.020116090774536133,0.010116338729858398,0.005112886428833008,0.04546022415161133
200,0.010111331939697266,0.02011251449584961,0.010114908218383789,0.005116462707519531,0.045455217361450195
201,0.010114669799804688,0.020116806030273438,0.010115385055541992,0.005113840103149414,0.04546070098876953
202,0.010114908218383789,0.02011251449584961,0.010116338729858398,0.005116462707519531,0.04546022415161133
